ces_industry_code,industry_title,parent_ces_code,ownership,supersector_code,industry_subcode,series_industry_8digit,hierarchy_depth,series_id_SA_employment,series_id_NSA_employment,series_id_SA_avg_hourly_earnings,series_id_NSA_avg_hourly_earnings,series_id_SA_avg_weekly_hours,series_id_NSA_avg_weekly_hours,series_id_SA_avg_weekly_earnings,series_id_NSA_avg_weekly_earnings,display_level,supersector_name
42-445000,Food and beverage retailers,42-000000,Private,42,445000,42445000,5,CES4244500001,CEU4244500001,CES4244500003,CEU4244500003,CES4244500002,CEU4244500002,CES4244500011,CEU4244500011,3,Retail Trade
42-445100,Grocery and convenience retailers,42-445000,Private,42,445100,42445100,6,CES4244510001,CEU4244510001,CES4244510003,CEU4244510003,CES4244510002,CEU4244510002,CES4244510011,CEU4244510011,4,Retail Trade
42-445110,Supermarkets and other grocery retailers (except convenience retailers),42-445100,Private,42,445110,42445110,7,CES4244511001,CEU4244511001,CES4244511003,CEU4244511003,CES4244511002,CEU4244511002,CES4244511011,CEU4244511011,5,Retail Trade
42-445200,Specialty food retailers,42-445000,Private,42,445200,42445200,6,CES4244520001,CEU4244520001,CES4244520003,CEU4244520003,CES4244520002,CEU4244520002,CES4244520011,CEU4244520011,4,Retail Trade
42-445300,Beer - wine - and liquor retailers,42-445000,Private,42,445300,42445300,6,CES4244530001,CEU4244530001,CES4244530003,CEU4244530003,CES4244530002,CEU4244530002,CES4244530011,CEU4244530011,4,Retail Trade
42-449000,Furniture - home furnishings - electronics - and appliance retailers,42-000000,Private,42,449000,42449000,5,CES4244900001,CEU4244900001,CES4244900003,CEU4244900003,CES4244900002,CEU4244900002,CES4244900011,CEU4244900011,3,Retail Trade
42-449100,Furniture and home furnishings retailers,42-449000,Private,42,449100,42449100,6,CES4244910001,CEU4244910001,CES4244910003,CEU4244910003,CES4244910002,CEU4244910002,CES4244910011,CEU4244910011,4,Retail Trade
42-449200,Electronics and appliance retailers,42-449000,Private,42,449200,42449200,6,CES4244920001,CEU4244920001,CES4244920003,CEU4244920003,CES4244920002,CEU4244920002,CES4244920011,CEU4244920011,4,Retail Trade
42-455000,General merchandise retailers,42-000000,Private,42,455000,42455000,5,CES4245500001,CEU4245500001,CES4245500003,CEU4245500003,CES4245500002,CEU4245500002,CES4245500011,CEU4245500011,3,Retail Trade
42-455100,Department stores,42-455000,Private,42,455100,42455100,6,CES4245510001,CEU4245510001,CES4245510003,CEU4245510003,CES4245510002,CEU4245510002,CES4245510011,CEU4245510011,4,Retail Trade
42-455200,Warehouse clubs - supercenters - and other general merchandise retailers,42-455000,Private,42,455200,42455200,6,CES4245520001,CEU4245520001,CES4245520003,CEU4245520003,CES4245520002,CEU4245520002,CES4245520011,CEU4245520011,4,Retail Trade
42-456000,Health and personal care retailers,42-000000,Private,42,456000,42456000,5,CES4245600001,CEU4245600001,CES4245600003,CEU4245600003,CES4245600002,CEU4245600002,CES4245600011,CEU4245600011,3,Retail Trade
42-457000,Gasoline stations and fuel dealers,42-000000,Private,42,457000,42457000,5,CES4245700001,CEU4245700001,CES4245700003,CEU4245700003,CES4245700002,CEU4245700002,CES4245700011,CEU4245700011,3,Retail Trade
42-458000,Clothing - clothing accessories - shoe - and jewelry retailers,42-000000,Private,42,458000,42458000,5,CES4245800001,CEU4245800001,CES4245800003,CEU4245800003,CES4245800002,CEU4245800002,CES4245800011,CEU4245800011,3,Retail Trade
42-458100,Clothing and clothing accessories retailers,42-458000,Private,42,458100,42458100,6,CES4245810001,CEU4245810001,CES4245810003,CEU4245810003,CES4245810002,CEU4245810002,CES4245810011,CEU4245810011,4,Retail Trade
42-459000,Sporting goods - hobby - musical instrument - book - and miscellaneous retailers,42-000000,Private,42,459000,42459000,5,CES4245900001,CEU4245900001,CES4245900003,CEU4245900003,CES4245900002,CEU4245900002,CES4245900011,CEU4245900011,3,Retail Trade
42-459100,Sporting goods - hobby - and musical instrument retailers,42-459000,Private,42,459100,42459100,6,CES4245910001,CEU4245910001,CES4245910003,CEU4245910003,CES4245910002,CEU4245910002,CES4245910011,CEU4245910011,4,Retail Trade
42-459400,Office supplies - stationery - and gift retailers,42-459000,Private,42,459400,42459400,6,CES4245940001,CEU4245940001,CES4245940003,CEU4245940003,CES4245940002,CEU4245940002,CES4245940011,CEU4245940011,4,Retail Trade
42-459500,Used merchandise retailers,42-459000,Private,42,459500,42459500,6,CES4245950001,CEU4245950001,CES4245950003,CEU4245950003,CES4245950002,CEU4245950002,CES4245950011,CEU4245950011,4,Retail Trade
42-459900,Other miscellaneous retailers,42-459000,Private,42,459900,42459900,6,CES4245990001,CEU4245990001,CES4245990003,CEU4245990003,CES4245990002,CEU4245990002,CES4245990011,CEU4245990011,4,Retail Trade
43-000000,Transportation and warehousing,40-000000,Private,43,000000,43000000,4,CES4300000001,CEU4300000001,CES4300000003,CEU4300000003,CES4300000002,CEU4300000002,CES4300000011,CEU4300000011,2,Transportation and Warehousing
43-481000,Air transportation,43-000000,Private,43,481000,43481000,5,CES4348100001,CEU4348100001,CES4348100003,CEU4348100003,CES4348100002,CEU4348100002,CES4348100011,CEU4348100011,3,Transportation and Warehousing
43-481100,Scheduled air transportation,43-481000,Private,43,481100,43481100,6,CES4348110001,CEU4348110001,CES4348110003,CEU4348110003,CES4348110002,CEU4348110002,CES4348110011,CEU4348110011,4,Transportation and Warehousing
43-481200,Nonscheduled air transportation,43-481000,Private,43,481200,43481200,6,CES4348120001,CEU4348120001,CES4348120003,CEU4348120003,CES4348120002,CEU4348120002,CES4348120011,CEU4348120011,4,Transportation and Warehousing
43-482000,Rail transportation,43-000000,Private,43,482000,43482000,5,CES4348200001,CEU4348200001,CES4348200003,CEU4348200003,CES4348200002,CEU4348200002,CES4348200011,CEU4348200011,3,Transportation and Warehousing
43-483000,Water transportation,43-000000,Private,43,483000,43483000,5,CES4348300001,CEU4348300001,CES4348300003,CEU4348300003,CES4348300002,CEU4348300002,CES4348300011,CEU4348300011,3,Transportation and Warehousing
43-484000,Truck transportation,43-000000,Private,43,484000,43484000,5,CES4348400001,CEU4348400001,CES4348400003,CEU4348400003,CES4348400002,CEU4348400002,CES4348400011,CEU4348400011,3,Transportation and Warehousing
43-484100,General freight trucking,43-484000,Private,43,484100,43484100,6,CES4348410001,CEU4348410001,CES4348410003,CEU4348410003,CES4348410002,CEU4348410002,CES4348410011,CEU4348410011,4,Transportation and Warehousing
43-484110,General freight trucking - local,43-484100,Private,43,484110,43484110,7,CES4348411001,CEU4348411001,CES4348411003,CEU4348411003,CES4348411002,CEU4348411002,CES4348411011,CEU4348411011,5,Transportation and Warehousing
43-484120,General freight trucking - long-distance,43-484100,Private,43,484120,43484120,7,CES4348412001,CEU4348412001,CES4348412003,CEU4348412003,CES4348412002,CEU4348412002,CES4348412011,CEU4348412011,5,Transportation and Warehousing
43-484200,Specialized freight trucking,43-484000,Private,43,484200,43484200,6,CES4348420001,CEU4348420001,CES4348420003,CEU4348420003,CES4348420002,CEU4348420002,CES4348420011,CEU4348420011,4,Transportation and Warehousing
43-485000,Transit and ground passenger transportation,43-000000,Private,43,485000,43485000,5,CES4348500001,CEU4348500001,CES4348500003,CEU4348500003,CES4348500002,CEU4348500002,CES4348500011,CEU4348500011,3,Transportation and Warehousing
43-485400,School and employee bus transportation,43-485000,Private,43,485400,43485400,6,CES4348540001,CEU4348540001,CES4348540003,CEU4348540003,CES4348540002,CEU4348540002,CES4348540011,CEU4348540011,4,Transportation and Warehousing
43-486000,Pipeline transportation,43-000000,Private,43,486000,43486000,5,CES4348600001,CEU4348600001,CES4348600003,CEU4348600003,CES4348600002,CEU4348600002,CES4348600011,CEU4348600011,3,Transportation and Warehousing
43-487000,Scenic and sightseeing transportation,43-000000,Private,43,487000,43487000,5,CES4348700001,CEU4348700001,CES4348700003,CEU4348700003,CES4348700002,CEU4348700002,CES4348700011,CEU4348700011,3,Transportation and Warehousing
43-488000,Support activities for transportation,43-000000,Private,43,488000,43488000,5,CES4348800001,CEU4348800001,CES4348800003,CEU4348800003,CES4348800002,CEU4348800002,CES4348800011,CEU4348800011,3,Transportation and Warehousing
43-488100,Support activities for air transportation,43-488000,Private,43,488100,43488100,6,CES4348810001,CEU4348810001,CES4348810003,CEU4348810003,CES4348810002,CEU4348810002,CES4348810011,CEU4348810011,4,Transportation and Warehousing
43-488400,Support activities for road transportation,43-488000,Private,43,488400,43488400,6,CES4348840001,CEU4348840001,CES4348840003,CEU4348840003,CES4348840002,CEU4348840002,CES4348840011,CEU4348840011,4,Transportation and Warehousing
43-488500,Freight transportation arrangement,43-488000,Private,43,488500,43488500,6,CES4348850001,CEU4348850001,CES4348850003,CEU4348850003,CES4348850002,CEU4348850002,CES4348850011,CEU4348850011,4,Transportation and Warehousing
43-492000,Couriers and messengers,43-000000,Private,43,492000,43492000,5,CES4349200001,CEU4349200001,CES4349200003,CEU4349200003,CES4349200002,CEU4349200002,CES4349200011,CEU4349200011,3,Transportation and Warehousing
43-492100,Couriers and express delivery services,43-492000,Private,43,492100,43492100,6,CES4349210001,CEU4349210001,CES4349210003,CEU4349210003,CES4349210002,CEU4349210002,CES4349210011,CEU4349210011,4,Transportation and Warehousing
43-493000,Warehousing and storage,43-000000,Private,43,493000,43493000,5,CES4349300001,CEU4349300001,CES4349300003,CEU4349300003,CES4349300002,CEU4349300002,CES4349300011,CEU4349300011,3,Transportation and Warehousing
43-493110,General warehousing and storage,43-493000,Private,43,493110,43493110,6,CES4349311001,CEU4349311001,CES4349311003,CEU4349311003,CES4349311002,CEU4349311002,CES4349311011,CEU4349311011,4,Transportation and Warehousing
44-220000,Utilities,40-000000,Private,44,220000,44220000,4,CES4422000001,CEU4422000001,CES4422000003,CEU4422000003,CES4422000002,CEU4422000002,CES4422000011,CEU4422000011,2,Utilities
44-221100,Electric power generation - transmission and distribution,44-220000,Private,44,221100,44221100,5,CES4422110001,CEU4422110001,CES4422110003,CEU4422110003,CES4422110002,CEU4422110002,CES4422110011,CEU4422110011,3,Utilities
44-221110,Electric power generation,44-221100,Private,44,221110,44221110,6,CES4422111001,CEU4422111001,CES4422111003,CEU4422111003,CES4422111002,CEU4422111002,CES4422111011,CEU4422111011,4,Utilities
44-221120,Electric power transmission - control - and distribution,44-221100,Private,44,221120,44221120,6,CES4422112001,CEU4422112001,CES4422112003,CEU4422112003,CES4422112002,CEU4422112002,CES4422112011,CEU4422112011,4,Utilities
44-221200,Natural gas distribution,44-220000,Private,44,221200,44221200,5,CES4422120001,CEU4422120001,CES4422120003,CEU4422120003,CES4422120002,CEU4422120002,CES4422120011,CEU4422120011,3,Utilities
44-221300,Water - sewage - and other systems,44-220000,Private,44,221300,44221300,5,CES4422130001,CEU4422130001,CES4422130003,CEU4422130003,CES4422130002,CEU4422130002,CES4422130011,CEU4422130011,3,Utilities
50-000000,Information,08-000000,Private,50,000000,50000000,3,CES5000000001,CEU5000000001,CES5000000003,CEU5000000003,CES5000000002,CEU5000000002,CES5000000011,CEU5000000011,2,Information
50-512000,Motion picture and sound recording industries,50-000000,Private,50,512000,50512000,4,CES5051200001,CEU5051200001,CES5051200003,CEU5051200003,CES5051200002,CEU5051200002,CES5051200011,CEU5051200011,3,Information
50-512110,Motion picture and video production,50-512000,Private,50,512110,50512110,5,CES5051211001,CEU5051211001,CES5051211003,CEU5051211003,CES5051211002,CEU5051211002,CES5051211011,CEU5051211011,4,Information
50-513000,Publishing industries (except internet),50-000000,Private,50,513000,50513000,4,CES5051300001,CEU5051300001,CES5051300003,CEU5051300003,CES5051300002,CEU5051300002,CES5051300011,CEU5051300011,3,Information
50-513100,Newspaper - periodical - book - and directory publishers,50-513000,Private,50,513100,50513100,5,CES5051310001,CEU5051310001,CES5051310003,CEU5051310003,CES5051310002,CEU5051310002,CES5051310011,CEU5051310011,4,Information
50-513210,Software publishers,50-513000,Private,50,513210,50513210,5,CES5051321001,CEU5051321001,CES5051321003,CEU5051321003,CES5051321002,CEU5051321002,CES5051321011,CEU5051321011,4,Information
50-516000,Computing infrastructure providers - data processing - web hosting - and related services,50-000000,Private,50,516000,50516000,4,CES5051600001,CEU5051600001,CES5051600003,CEU5051600003,CES5051600002,CEU5051600002,CES5051600011,CEU5051600011,3,Information
50-517000,Telecommunications,50-000000,Private,50,517000,50517000,4,CES5051700001,CEU5051700001,CES5051700003,CEU5051700003,CES5051700002,CEU5051700002,CES5051700011,CEU5051700011,3,Information
50-517110,Wired telecommunications carriers,50-517000,Private,50,517110,50517110,5,CES5051711001,CEU5051711001,CES5051711003,CEU5051711003,CES5051711002,CEU5051711002,CES5051711011,CEU5051711011,4,Information
50-517210,Wireless telecommunications carriers (except satellite),50-517000,Private,50,517210,50517210,5,CES5051721001,CEU5051721001,CES5051721003,CEU5051721003,CES5051721002,CEU5051721002,CES5051721011,CEU5051721011,4,Information
50-518000,Internet publishing and broadcasting and web search portals,50-000000,Private,50,518000,50518000,4,CES5051800001,CEU5051800001,CES5051800003,CEU5051800003,CES5051800002,CEU5051800002,CES5051800011,CEU5051800011,3,Information
50-519000,Other information services,50-000000,Private,50,519000,50519000,4,CES5051900001,CEU5051900001,CES5051900003,CEU5051900003,CES5051900002,CEU5051900002,CES5051900011,CEU5051900011,3,Information
55-000000,Financial activities,08-000000,Private,55,000000,55000000,3,CES5500000001,CEU5500000001,CES5500000003,CEU5500000003,CES5500000002,CEU5500000002,CES5500000011,CEU5500000011,2,Financial Activities
55-520000,Finance and insurance,55-000000,Private,55,520000,55520000,4,CES5552000001,CEU5552000001,CES5552000003,CEU5552000003,CES5552000002,CEU5552000002,CES5552000011,CEU5552000011,3,Financial Activities
55-521000,Monetary authorities - central bank,55-520000,Private,55,521000,55521000,5,CES5552100001,CEU5552100001,CES5552100003,CEU5552100003,CES5552100002,CEU5552100002,CES5552100011,CEU5552100011,4,Financial Activities
55-522000,Credit intermediation and related activities,55-520000,Private,55,522000,55522000,5,CES5552200001,CEU5552200001,CES5552200003,CEU5552200003,CES5552200002,CEU5552200002,CES5552200011,CEU5552200011,4,Financial Activities
55-522100,Depository credit intermediation,55-522000,Private,55,522100,55522100,6,CES5552210001,CEU5552210001,CES5552210003,CEU5552210003,CES5552210002,CEU5552210002,CES5552210011,CEU5552210011,5,Financial Activities
55-522110,Commercial banking,55-522100,Private,55,522110,55522110,7,CES5552211001,CEU5552211001,CES5552211003,CEU5552211003,CES5552211002,CEU5552211002,CES5552211011,CEU5552211011,6,Financial Activities
55-522200,Nondepository credit intermediation,55-522000,Private,55,522200,55522200,6,CES5552220001,CEU5552220001,CES5552220003,CEU5552220003,CES5552220002,CEU5552220002,CES5552220011,CEU5552220011,5,Financial Activities
55-522300,Activities related to credit intermediation,55-522000,Private,55,522300,55522300,6,CES5552230001,CEU5552230001,CES5552230003,CEU5552230003,CES5552230002,CEU5552230002,CES5552230011,CEU5552230011,5,Financial Activities
55-523000,Securities - commodity contracts - and other financial investments and related activities,55-520000,Private,55,523000,55523000,5,CES5552300001,CEU5552300001,CES5552300003,CEU5552300003,CES5552300002,CEU5552300002,CES5552300011,CEU5552300011,4,Financial Activities
55-523100,Securities and commodity contracts intermediation and brokerage,55-523000,Private,55,523100,55523100,6,CES5552310001,CEU5552310001,CES5552310003,CEU5552310003,CES5552310002,CEU5552310002,CES5552310011,CEU5552310011,5,Financial Activities
55-523900,Other financial investment activities,55-523000,Private,55,523900,55523900,6,CES5552390001,CEU5552390001,CES5552390003,CEU5552390003,CES5552390002,CEU5552390002,CES5552390011,CEU5552390011,5,Financial Activities
55-524000,Insurance carriers and related activities,55-520000,Private,55,524000,55524000,5,CES5552400001,CEU5552400001,CES5552400003,CEU5552400003,CES5552400002,CEU5552400002,CES5552400011,CEU5552400011,4,Financial Activities
55-524100,Insurance carriers,55-524000,Private,55,524100,55524100,6,CES5552410001,CEU5552410001,CES5552410003,CEU5552410003,CES5552410002,CEU5552410002,CES5552410011,CEU5552410011,5,Financial Activities
55-524200,Agencies - brokerages - and other insurance related activities,55-524000,Private,55,524200,55524200,6,CES5552420001,CEU5552420001,CES5552420003,CEU5552420003,CES5552420002,CEU5552420002,CES5552420011,CEU5552420011,5,Financial Activities
55-525000,Funds - trusts - and other financial vehicles,55-520000,Private,55,525000,55525000,5,CES5552500001,CEU5552500001,CES5552500003,CEU5552500003,CES5552500002,CEU5552500002,CES5552500011,CEU5552500011,4,Financial Activities
55-530000,Real estate and rental and leasing,55-000000,Private,55,530000,55530000,4,CES5553000001,CEU5553000001,CES5553000003,CEU5553000003,CES5553000002,CEU5553000002,CES5553000011,CEU5553000011,3,Financial Activities
55-531000,Real estate,55-530000,Private,55,531000,55531000,5,CES5553100001,CEU5553100001,CES5553100003,CEU5553100003,CES5553100002,CEU5553100002,CES5553100011,CEU5553100011,4,Financial Activities
55-531100,Lessors of real estate,55-531000,Private,55,531100,55531100,6,CES5553110001,CEU5553110001,CES5553110003,CEU5553110003,CES5553110002,CEU5553110002,CES5553110011,CEU5553110011,5,Financial Activities
55-531200,Offices of real estate agents and brokers,55-531000,Private,55,531200,55531200,6,CES5553120001,CEU5553120001,CES5553120003,CEU5553120003,CES5553120002,CEU5553120002,CES5553120011,CEU5553120011,5,Financial Activities
55-531300,Activities related to real estate,55-531000,Private,55,531300,55531300,6,CES5553130001,CEU5553130001,CES5553130003,CEU5553130003,CES5553130002,CEU5553130002,CES5553130011,CEU5553130011,5,Financial Activities
55-532000,Rental and leasing services,55-530000,Private,55,532000,55532000,5,CES5553200001,CEU5553200001,CES5553200003,CEU5553200003,CES5553200002,CEU5553200002,CES5553200011,CEU5553200011,4,Financial Activities
55-533000,Lessors of nonfinancial intangible assets (except copyrighted works),55-530000,Private,55,533000,55533000,5,CES5553300001,CEU5553300001,CES5553300003,CEU5553300003,CES5553300002,CEU5553300002,CES5553300011,CEU5553300011,4,Financial Activities
60-000000,Professional and business services,08-000000,Private,60,000000,60000000,3,CES6000000001,CEU6000000001,CES6000000003,CEU6000000003,CES6000000002,CEU6000000002,CES6000000011,CEU6000000011,2,Professional and Business Services
60-540000,Professional - scientific - and technical services,60-000000,Private,60,540000,60540000,4,CES6054000001,CEU6054000001,CES6054000003,CEU6054000003,CES6054000002,CEU6054000002,CES6054000011,CEU6054000011,3,Professional and Business Services
60-540100,Legal services,60-540000,Private,60,540100,60540100,5,CES6054010001,CEU6054010001,CES6054010003,CEU6054010003,CES6054010002,CEU6054010002,CES6054010011,CEU6054010011,4,Professional and Business Services
60-540200,Accounting - tax preparation - bookkeeping - and payroll services,60-540000,Private,60,540200,60540200,5,CES6054020001,CEU6054020001,CES6054020003,CEU6054020003,CES6054020002,CEU6054020002,CES6054020011,CEU6054020011,4,Professional and Business Services
60-540300,Architectural - engineering - and related services,60-540000,Private,60,540300,60540300,5,CES6054030001,CEU6054030001,CES6054030003,CEU6054030003,CES6054030002,CEU6054030002,CES6054030011,CEU6054030011,4,Professional and Business Services
60-540400,Specialized design services,60-540000,Private,60,540400,60540400,5,CES6054040001,CEU6054040001,CES6054040003,CEU6054040003,CES6054040002,CEU6054040002,CES6054040011,CEU6054040011,4,Professional and Business Services
60-540500,Computer systems design and related services,60-540000,Private,60,540500,60540500,5,CES6054050001,CEU6054050001,CES6054050003,CEU6054050003,CES6054050002,CEU6054050002,CES6054050011,CEU6054050011,4,Professional and Business Services
60-540600,Management - scientific - and technical consulting services,60-540000,Private,60,540600,60540600,5,CES6054060001,CEU6054060001,CES6054060003,CEU6054060003,CES6054060002,CEU6054060002,CES6054060011,CEU6054060011,4,Professional and Business Services
60-540700,Scientific research and development services,60-540000,Private,60,540700,60540700,5,CES6054070001,CEU6054070001,CES6054070003,CEU6054070003,CES6054070002,CEU6054070002,CES6054070011,CEU6054070011,4,Professional and Business Services
60-540800,Advertising - public relations - and related services,60-540000,Private,60,540800,60540800,5,CES6054080001,CEU6054080001,CES6054080003,CEU6054080003,CES6054080002,CEU6054080002,CES6054080011,CEU6054080011,4,Professional and Business Services
60-540900,Other professional - scientific - and technical services,60-540000,Private,60,540900,60540900,5,CES6054090001,CEU6054090001,CES6054090003,CEU6054090003,CES6054090002,CEU6054090002,CES6054090011,CEU6054090011,4,Professional and Business Services
60-550000,Management of companies and enterprises,60-000000,Private,60,550000,60550000,4,CES6055000001,CEU6055000001,CES6055000003,CEU6055000003,CES6055000002,CEU6055000002,CES6055000011,CEU6055000011,3,Professional and Business Services
60-560000,Administrative and support and waste management and remediation services,60-000000,Private,60,560000,60560000,4,CES6056000001,CEU6056000001,CES6056000003,CEU6056000003,CES6056000002,CEU6056000002,CES6056000011,CEU6056000011,3,Professional and Business Services
60-561000,Administrative and support services,60-560000,Private,60,561000,60561000,5,CES6056100001,CEU6056100001,CES6056100003,CEU6056100003,CES6056100002,CEU6056100002,CES6056100011,CEU6056100011,4,Professional and Business Services
60-561100,Office administrative services,60-561000,Private,60,561100,60561100,6,CES6056110001,CEU6056110001,CES6056110003,CEU6056110003,CES6056110002,CEU6056110002,CES6056110011,CEU6056110011,5,Professional and Business Services
60-561200,Facilities support services,60-561000,Private,60,561200,60561200,6,CES6056120001,CEU6056120001,CES6056120003,CEU6056120003,CES6056120002,CEU6056120002,CES6056120011,CEU6056120011,5,Professional and Business Services
60-561300,Employment services,60-561000,Private,60,561300,60561300,6,CES6056130001,CEU6056130001,CES6056130003,CEU6056130003,CES6056130002,CEU6056130002,CES6056130011,CEU6056130011,5,Professional and Business Services
60-561310,Employment placement agencies and executive search services,60-561300,Private,60,561310,60561310,7,CES6056131001,CEU6056131001,CES6056131003,CEU6056131003,CES6056131002,CEU6056131002,CES6056131011,CEU6056131011,6,Professional and Business Services
60-561320,Temporary help services,60-561300,Private,60,561320,60561320,7,CES6056132001,CEU6056132001,CES6056132003,CEU6056132003,CES6056132002,CEU6056132002,CES6056132011,CEU6056132011,6,Professional and Business Services
60-561330,Professional employer organizations,60-561300,Private,60,561330,60561330,7,CES6056133001,CEU6056133001,CES6056133003,CEU6056133003,CES6056133002,CEU6056133002,CES6056133011,CEU6056133011,6,Professional and Business Services
60-561400,Business support services,60-561000,Private,60,561400,60561400,6,CES6056140001,CEU6056140001,CES6056140003,CEU6056140003,CES6056140002,CEU6056140002,CES6056140011,CEU6056140011,5,Professional and Business Services
60-561500,Travel arrangement and reservation services,60-561000,Private,60,561500,60561500,6,CES6056150001,CEU6056150001,CES6056150003,CEU6056150003,CES6056150002,CEU6056150002,CES6056150011,CEU6056150011,5,Professional and Business Services
60-561600,Investigation and security services,60-561000,Private,60,561600,60561600,6,CES6056160001,CEU6056160001,CES6056160003,CEU6056160003,CES6056160002,CEU6056160002,CES6056160011,CEU6056160011,5,Professional and Business Services
60-561700,Services to buildings and dwellings,60-561000,Private,60,561700,60561700,6,CES6056170001,CEU6056170001,CES6056170003,CEU6056170003,CES6056170002,CEU6056170002,CES6056170011,CEU6056170011,5,Professional and Business Services
60-561720,Janitorial services,60-561700,Private,60,561720,60561720,7,CES6056172001,CEU6056172001,CES6056172003,CEU6056172003,CES6056172002,CEU6056172002,CES6056172011,CEU6056172011,6,Professional and Business Services
60-561730,Landscaping services,60-561700,Private,60,561730,60561730,7,CES6056173001,CEU6056173001,CES6056173003,CEU6056173003,CES6056173002,CEU6056173002,CES6056173011,CEU6056173011,6,Professional and Business Services
60-561900,Other support services,60-561000,Private,60,561900,60561900,6,CES6056190001,CEU6056190001,CES6056190003,CEU6056190003,CES6056190002,CEU6056190002,CES6056190011,CEU6056190011,5,Professional and Business Services
60-562000,Waste management and remediation services,60-560000,Private,60,562000,60562000,5,CES6056200001,CEU6056200001,CES6056200003,CEU6056200003,CES6056200002,CEU6056200002,CES6056200011,CEU6056200011,4,Professional and Business Services
65-000000,Education and health services,08-000000,Private,65,000000,65000000,3,CES6500000001,CEU6500000001,CES6500000003,CEU6500000003,CES6500000002,CEU6500000002,CES6500000011,CEU6500000011,2,Education and Health Services
65-610000,Educational services,65-000000,Private,65,610000,65610000,4,CES6561000001,CEU6561000001,CES6561000003,CEU6561000003,CES6561000002,CEU6561000002,CES6561000011,CEU6561000011,3,Education and Health Services
65-611100,Elementary and secondary schools,65-610000,Private,65,611100,65611100,5,CES6561110001,CEU6561110001,CES6561110003,CEU6561110003,CES6561110002,CEU6561110002,CES6561110011,CEU6561110011,4,Education and Health Services
65-611300,Colleges - universities - and professional schools,65-610000,Private,65,611300,65611300,5,CES6561130001,CEU6561130001,CES6561130003,CEU6561130003,CES6561130002,CEU6561130002,CES6561130011,CEU6561130011,4,Education and Health Services
65-611500,Technical and trade schools,65-610000,Private,65,611500,65611500,5,CES6561150001,CEU6561150001,CES6561150003,CEU6561150003,CES6561150002,CEU6561150002,CES6561150011,CEU6561150011,4,Education and Health Services
65-611600,Other schools and instruction,65-610000,Private,65,611600,65611600,5,CES6561160001,CEU6561160001,CES6561160003,CEU6561160003,CES6561160002,CEU6561160002,CES6561160011,CEU6561160011,4,Education and Health Services
65-620000,Health care and social assistance,65-000000,Private,65,620000,65620000,4,CES6562000001,CEU6562000001,CES6562000003,CEU6562000003,CES6562000002,CEU6562000002,CES6562000011,CEU6562000011,3,Education and Health Services
65-621000,Ambulatory health care services,65-620000,Private,65,621000,65621000,5,CES6562100001,CEU6562100001,CES6562100003,CEU6562100003,CES6562100002,CEU6562100002,CES6562100011,CEU6562100011,4,Education and Health Services
65-621100,Offices of physicians,65-621000,Private,65,621100,65621100,6,CES6562110001,CEU6562110001,CES6562110003,CEU6562110003,CES6562110002,CEU6562110002,CES6562110011,CEU6562110011,5,Education and Health Services
65-621111,Offices of physicians (except mental health specialists),65-621100,Private,65,621111,65621111,7,CES6562111101,CEU6562111101,CES6562111103,CEU6562111103,CES6562111102,CEU6562111102,CES6562111111,CEU6562111111,6,Education and Health Services
65-621200,Offices of dentists,65-621000,Private,65,621200,65621200,6,CES6562120001,CEU6562120001,CES6562120003,CEU6562120003,CES6562120002,CEU6562120002,CES6562120011,CEU6562120011,5,Education and Health Services
65-621300,Offices of other health practitioners,65-621000,Private,65,621300,65621300,6,CES6562130001,CEU6562130001,CES6562130003,CEU6562130003,CES6562130002,CEU6562130002,CES6562130011,CEU6562130011,5,Education and Health Services
65-621400,Outpatient care centers,65-621000,Private,65,621400,65621400,6,CES6562140001,CEU6562140001,CES6562140003,CEU6562140003,CES6562140002,CEU6562140002,CES6562140011,CEU6562140011,5,Education and Health Services
65-621500,Medical and diagnostic laboratories,65-621000,Private,65,621500,65621500,6,CES6562150001,CEU6562150001,CES6562150003,CEU6562150003,CES6562150002,CEU6562150002,CES6562150011,CEU6562150011,5,Education and Health Services
65-621600,Home health care services,65-621000,Private,65,621600,65621600,6,CES6562160001,CEU6562160001,CES6562160003,CEU6562160003,CES6562160002,CEU6562160002,CES6562160011,CEU6562160011,5,Education and Health Services
65-621900,Other ambulatory health care services,65-621000,Private,65,621900,65621900,6,CES6562190001,CEU6562190001,CES6562190003,CEU6562190003,CES6562190002,CEU6562190002,CES6562190011,CEU6562190011,5,Education and Health Services
65-621910,Ambulance services,65-621900,Private,65,621910,65621910,7,CES6562191001,CEU6562191001,CES6562191003,CEU6562191003,CES6562191002,CEU6562191002,CES6562191011,CEU6562191011,6,Education and Health Services
65-622000,Hospitals,65-620000,Private,65,622000,65622000,5,CES6562200001,CEU6562200001,CES6562200003,CEU6562200003,CES6562200002,CEU6562200002,CES6562200011,CEU6562200011,4,Education and Health Services
65-622100,General medical and surgical hospitals,65-622000,Private,65,622100,65622100,6,CES6562210001,CEU6562210001,CES6562210003,CEU6562210003,CES6562210002,CEU6562210002,CES6562210011,CEU6562210011,5,Education and Health Services
65-622200,Psychiatric and substance abuse hospitals,65-622000,Private,65,622200,65622200,6,CES6562220001,CEU6562220001,CES6562220003,CEU6562220003,CES6562220002,CEU6562220002,CES6562220011,CEU6562220011,5,Education and Health Services
