bls_item_code,item_name,series_id_cpi_u_nsa,series_id_cpi_u_sa,series_id_cpi_w_nsa,series_id_cpi_w_sa,api_url_v2,data_viewer_url
SEHN02,Household paper products,CUUR0000SEHN02,CUSR0000SEHN02,CWUR0000SEHN02,CWSR0000SEHN02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHN02,https://data.bls.gov/timeseries/CUUR0000SEHN02
SEHN03,Miscellaneous household products,CUUR0000SEHN03,CUSR0000SEHN03,CWUR0000SEHN03,CWSR0000SEHN03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHN03,https://data.bls.gov/timeseries/CUUR0000SEHN03
SEHP,Household operations,CUUR0000SEHP,CUSR0000SEHP,CWUR0000SEHP,CWSR0000SEHP,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHP,https://data.bls.gov/timeseries/CUUR0000SEHP
SEHP01,Domestic services,CUUR0000SEHP01,CUSR0000SEHP01,CWUR0000SEHP01,CWSR0000SEHP01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHP01,https://data.bls.gov/timeseries/CUUR0000SEHP01
SEHP02,Gardening and lawn care services,CUUR0000SEHP02,CUSR0000SEHP02,CWUR0000SEHP02,CWSR0000SEHP02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHP02,https://data.bls.gov/timeseries/CUUR0000SEHP02
SEHP03,"Moving, storage, freight expense",CUUR0000SEHP03,CUSR0000SEHP03,CWUR0000SEHP03,CWSR0000SEHP03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHP03,https://data.bls.gov/timeseries/CUUR0000SEHP03
SEHP04,Repair of household items,CUUR0000SEHP04,CUSR0000SEHP04,CWUR0000SEHP04,CWSR0000SEHP04,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEHP04,https://data.bls.gov/timeseries/CUUR0000SEHP04
SAA,Apparel,CUUR0000SAA,CUSR0000SAA,CWUR0000SAA,CWSR0000SAA,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAA,https://data.bls.gov/timeseries/CUUR0000SAA
SAA1,Men's and boys' apparel,CUUR0000SAA1,CUSR0000SAA1,CWUR0000SAA1,CWSR0000SAA1,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAA1,https://data.bls.gov/timeseries/CUUR0000SAA1
SAA2,Women's and girls' apparel,CUUR0000SAA2,CUSR0000SAA2,CWUR0000SAA2,CWSR0000SAA2,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SAA2,https://data.bls.gov/timeseries/CUUR0000SAA2
SA311,Apparel less footwear,CUUR0000SA311,CUSR0000SA311,CWUR0000SA311,CWSR0000SA311,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SA311,https://data.bls.gov/timeseries/CUUR0000SA311
SEAA,Men's apparel,CUUR0000SEAA,CUSR0000SEAA,CWUR0000SEAA,CWSR0000SEAA,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAA,https://data.bls.gov/timeseries/CUUR0000SEAA
SEAA01,"Men's suits, sport coats, and outerwear",CUUR0000SEAA01,CUSR0000SEAA01,CWUR0000SEAA01,CWSR0000SEAA01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAA01,https://data.bls.gov/timeseries/CUUR0000SEAA01
SEAA02,Men's furnishings,CUUR0000SEAA02,CUSR0000SEAA02,CWUR0000SEAA02,CWSR0000SEAA02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAA02,https://data.bls.gov/timeseries/CUUR0000SEAA02
SEAA03,Men's shirts and sweaters,CUUR0000SEAA03,CUSR0000SEAA03,CWUR0000SEAA03,CWSR0000SEAA03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAA03,https://data.bls.gov/timeseries/CUUR0000SEAA03
SEAA04,Men's pants and shorts,CUUR0000SEAA04,CUSR0000SEAA04,CWUR0000SEAA04,CWSR0000SEAA04,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAA04,https://data.bls.gov/timeseries/CUUR0000SEAA04
SEAB,Boys' apparel,CUUR0000SEAB,CUSR0000SEAB,CWUR0000SEAB,CWSR0000SEAB,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAB,https://data.bls.gov/timeseries/CUUR0000SEAB
SEAC,Women's apparel,CUUR0000SEAC,CUSR0000SEAC,CWUR0000SEAC,CWSR0000SEAC,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAC,https://data.bls.gov/timeseries/CUUR0000SEAC
SEAC01,Women's outerwear,CUUR0000SEAC01,CUSR0000SEAC01,CWUR0000SEAC01,CWSR0000SEAC01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAC01,https://data.bls.gov/timeseries/CUUR0000SEAC01
SEAC02,Women's dresses,CUUR0000SEAC02,CUSR0000SEAC02,CWUR0000SEAC02,CWSR0000SEAC02,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAC02,https://data.bls.gov/timeseries/CUUR0000SEAC02
SEAC03,Women's suits and separates,CUUR0000SEAC03,CUSR0000SEAC03,CWUR0000SEAC03,CWSR0000SEAC03,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAC03,https://data.bls.gov/timeseries/CUUR0000SEAC03
SEAC04,"Women's underwear, nightwear, sportswear and accessories",CUUR0000SEAC04,CUSR0000SEAC04,CWUR0000SEAC04,CWSR0000SEAC04,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAC04,https://data.bls.gov/timeseries/CUUR0000SEAC04
SEAD,Girls' apparel,CUUR0000SEAD,CUSR0000SEAD,CWUR0000SEAD,CWSR0000SEAD,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAD,https://data.bls.gov/timeseries/CUUR0000SEAD
SEAE,Footwear,CUUR0000SEAE,CUSR0000SEAE,CWUR0000SEAE,CWSR0000SEAE,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAE,https://data.bls.gov/timeseries/CUUR0000SEAE
SEAE01,Men's footwear,CUUR0000SEAE01,CUSR0000SEAE01,CWUR0000SEAE01,CWSR0000SEAE01,https://api.bls.gov/publicAPI/v2/timeseries/data/CUUR0000SEAE01,https://data.bls.gov/timeseries/CUUR0000SEAE01
